pivot_sample,confirmation_sample,elapsed_seconds,timestampUs,x,y,angle,incoming_pixels,outgoing_pixels,incoming_speed,outgoing_speed,rejected_by
959,960,18.397591,1789749922963644,145.61940002441406,139.06529235839844,3.1179408356913836,11.78185415277168,14.12537905104805,980.5954351037605,747.2954740793593,"cooldown,angle"
969,970,18.564687,1789749923130734,91.96891021728516,142.94252014160156,1.1959867853621522,10.333576485699734,11.12602578548988,558.5415104967155,523.232965833798,angle
970,971,18.585943,1789749923151998,85.58464813232422,133.83045959472656,2.0276979856487953,11.12602578548988,10.933037081875922,523.232965833798,963.772662365649,angle
971,972,18.597291,1789749923163342,78.99823760986328,125.10403442382812,2.250861659841509,10.933037081875922,10.846383608177911,963.772662365649,576.1691159722662,angle
972,973,18.616119,1789749923182167,72.12905883789062,116.7100830078125,6.245329954672601,10.846383608177911,9.981805054848456,576.1691159722662,673.4452202704397,angle
973,974,18.630938,1789749923196989,65.00459289550781,109.7187728881836,11.78378192300619,9.981805054848456,9.614618567042891,673.4452202704397,516.2488491754129,angle
974,975,18.649563,1789749923215613,56.911590576171875,104.52799224853516,7.114937295391517,9.614618567042891,9.068758446108538,516.2488491754129,612.464270014759,angle
975,976,18.664367,1789749923230420,48.730411529541016,100.61510467529297,14.901684680950009,9.068758446108538,8.403994775151354,612.464270014759,432.83862665592056,"outside_board,angle"
976,977,18.683792,1789749923249836,40.47142791748047,99.06065368652344,8.935987016986306,8.403994775151354,7.796074568161515,432.83862665592056,582.5791786101864,"outside_board,angle"
977,978,18.697149,1789749923263218,32.67887878417969,98.82622528076172,8.888041642414317,7.796074568161515,7.979325079093652,582.5791786101864,416.71846036628637,"outside_board,angle"
978,979,18.716311,1789749923282366,24.76186180114746,99.82144927978516,12.875491069189277,7.979325079093652,8.475519067216007,416.71846036628637,572.5541489708847,"outside_board,angle"
979,980,18.731118,1789749923297169,16.799524307250977,102.72586059570312,9.00732089468213,8.475519067216007,9.267855545833074,572.5541489708847,502.2139127469965,"outside_board,angle"
980,981,18.749568,1789749923315623,8.697419166564941,107.22575378417969,15.922807506745972,9.267855545833074,9.81053528099769,502.2139127469965,619.5084163297354,"outside_board,angle"
1021,1022,19.430526,1789749923996581,11.026067733764648,17.847064971923828,0.8241843090090467,10.273552227271502,14.246352698107618,812.3311636966475,766.9638060892391,"outside_board,angle"
1022,1023,19.449099,1789749924015156,24.157779693603516,23.371257781982422,2.178366280472834,14.246352698107618,13.83315227413317,766.9638060892391,707.469558335456,"outside_board,angle"
